blk,old_plant_no,ecotype,rep,row,rng,hs
MUB,32,UL,1,1,1,77
PUB,36,UL,1,1,2,36
PUB,6,UL,1,1,3,6
MUB,6,UL,2,1,4,51
MUB,7,UL,2,1,5,52
MLB,2,LL,2,1,6,137
MLB,44,LL,3,1,7,179
MLB,33,LL,3,1,8,168
MUB,11,UL,3,1,9,56
MLB,29,LL,4,1,10,164
MUB,7,UL,4,1,11,52
MUB,42,UL,4,1,12,87
MLB,42,LL,1,2,1,177
PLB,9,LL,1,2,2,99
PUB,19,UL,1,2,3,19
PLB,22,LL,2,2,4,112
MLB,36,LL,2,2,5,171
MLB,33,LL,2,2,6,168
PLB,42,LL,3,2,7,132
MUB,15,UL,3,2,8,60
PLB,13,LL,3,2,9,103
PUB,11,UL,4,2,10,11
PLB,32,LL,4,2,11,122
MUB,19,UL,4,2,12,64
MLB,19,LL,1,3,1,154
PUB,10,UL,1,3,2,10
PUB,41,UL,1,3,3,41
PLB,13,LL,2,3,4,103
MUB,42,UL,2,3,5,87
MLB,22,LL,2,3,6,157
MUB,18,UL,3,3,7,63
MLB,42,LL,3,3,8,177
PLB,18,LL,3,3,9,108
PUB,20,UL,4,3,10,20
MLB,43,LL,4,3,11,178
PUB,21,UL,4,3,12,21
MUB,1,UL,1,4,1,46
PUB,40,UL,1,4,2,40
MLB,31,LL,1,4,3,166
MUB,17,UL,2,4,4,62
PUB,9,UL,2,4,5,9
NA,NA,UL,2,4,6,CHECK_CiR
MLB,22,LL,3,4,7,157
MUB,27,UL,3,4,8,72
PLB,19,LL,3,4,9,109
MLB,26,LL,4,4,10,161
MUB,2,UL,4,4,11,47
MUB,8,UL,4,4,12,53
MLB,36,LL,1,5,1,171
PUB,18,UL,1,5,2,18
MLB,5,LL,1,5,3,140
PUB,39,UL,2,5,4,39
MLB,17,LL,2,5,5,152
PLB,5,LL,2,5,6,95
MLB,16,LL,3,5,7,151
PLB,26,LL,3,5,8,116
MUB,39,UL,3,5,9,84
MUB,37,UL,4,5,10,82
MUB,32,UL,4,5,11,77
PLB,42,LL,4,5,12,132
MLB,3,LL,1,6,1,138
PLB,36,LL,1,6,2,126
MUB,19,UL,1,6,3,64
MUB,36,UL,2,6,4,81
MLB,21,LL,2,6,5,156
PUB,22,UL,2,6,6,22
PLB,21,LL,3,6,7,111
MLB,8,LL,3,6,8,143
MLB,4,LL,3,6,9,139
MLB,18,LL,4,6,10,153
MLB,39,LL,4,6,11,174
PUB,16,UL,4,6,12,16
PUB,31,UL,1,7,1,31
PLB,45,LL,1,7,2,135
PUB,39,UL,1,7,3,39
MLB,34,LL,2,7,4,169
MLB,29,LL,2,7,5,164
MLB,30,LL,2,7,6,165
PLB,33,LL,3,7,7,123
PLB,23,LL,3,7,8,113
MUB,1,UL,3,7,9,46
PUB,6,UL,4,7,10,6
MLB,16,LL,4,7,11,151
MUB,28,UL,4,7,12,73
MUB,5,UL,1,8,1,50
MUB,8,UL,1,8,2,53
PLB,28,LL,1,8,3,118
PLB,41,LL,2,8,4,131
MLB,38,LL,2,8,5,173
PLB,40,LL,2,8,6,130
PUB,28,UL,3,8,7,28
MLB,6,LL,3,8,8,141
PLB,29,LL,3,8,9,119
PUB,34,UL,4,8,10,34
MUB,36,UL,4,8,11,81
MUB,4,UL,4,8,12,49
MUB,23,UL,1,9,1,68
MLB,10,LL,1,9,2,145
PUB,35,UL,1,9,3,35
PLB,23,LL,2,9,4,113
PLB,30,LL,2,9,5,120
PLB,45,LL,2,9,6,135
PLB,5,LL,3,9,7,95
MLB,41,LL,3,9,8,176
PUB,22,UL,3,9,9,22
PLB,8,LL,4,9,10,98
PUB,18,UL,4,9,11,18
PUB,43,UL,4,9,12,43
MUB,29,UL,1,10,1,74
MUB,28,UL,1,10,2,73
PLB,3,LL,1,10,3,93
MUB,30,UL,2,10,4,75
PLB,7,LL,2,10,5,97
PUB,10,UL,2,10,6,10
MUB,30,UL,3,10,7,75
PLB,38,LL,3,10,8,128
