range,row,vigor_2020,anthracnose_2020,anthracnose_2021,leaf_hgt_2020
1,1,3,1.7142857142857142,2.5714285714285716,67.42857142857143
1,2,4.125,1.875,2.375,149.5
1,3,4.75,2.5,2.625,156.375
1,4,4.125,2.5,2.125,112.625
1,5,4.75,2,1.75,154.75
1,6,3.625,2.25,1.375,113.875
1,7,4.75,2,2.25,109.25
1,8,4.25,2,1.75,118.875
1,9,4.5,2.125,2.625,102.375
1,10,5,2.125,1.875,132.25
1,11,5,2.25,2,143.5
1,12,4.285714285714286,2.142857142857143,1.2857142857142858,150
1,13,4.375,2.5,2.875,145.375
1,14,4.375,1.875,2.75,100.25
1,15,5,2.375,2.375,129.125
1,16,5,2.375,3,140
1,17,4.875,2,2.375,111.5
1,18,4.125,2.25,2.5,105.375
1,19,4.625,2.125,2.5,108.25
1,20,4.75,2.125,2.25,142.25
1,21,5,2.375,3,164.625
1,22,4.75,2.125,1.75,136.625
1,23,5,2.25,2.875,143.875
1,24,4.75,2,2.375,151
1,25,5,2,1.375,145.5
1,26,5,2.25,3.125,155.375
1,27,4.875,2.125,1.625,132.5
1,28,3.7142857142857144,1.8571428571428572,1.2857142857142858,124.875
1,29,4.875,2,2,110.875
1,30,4.75,2,2.5,154.125
1,31,4.875,2.25,1.625,129.875
1,32,4.75,2.125,1.75,167.75
1,33,4.625,2,1.625,130
1,34,5,2,2,175.5
1,35,5,2,1.25,180.625
1,36,4.75,2,1.75,167.625
1,37,4.875,1.875,1.75,143.625
1,38,4.75,2.125,2.375,102.875
1,39,4.75,2,1.375,157.5
1,40,5,2,1.875,171.5
1,41,5,2,1.125,157.625
1,42,4.875,2,2.75,119
1,43,5,1.75,1.75,143.625
1,44,4.75,2,3.125,112.375
1,45,4.875,2,1.25,157.625
1,46,4.75,2,1.125,137.5
1,47,5,2,1.375,119
1,48,5,2,1.875,155.375
1,49,4.375,2.5,2.125,117
1,50,5,2.1666666666666665,2.1666666666666665,153.83333333333334
1,51,4.875,2.125,1.75,131.625
1,52,5,2,2.125,161.125
1,53,5,2,1.25,150
1,54,5,2.25,2.25,137.25
1,55,5,2.125,1.875,156.625
1,56,5,2,1.75,167.625
1,57,5,2,1.75,181.5
1,58,5,2,1.5,186.25
1,59,5,1.8571428571428572,1.5714285714285714,135.42857142857142
1,60,5,2,1.5,162.25
1,61,4.75,2,1.5,106.875
2,1,2.857142857142857,1.5714285714285714,2,92.75
2,2,3.875,3.25,3.125,141.75
2,3,4.625,2.25,1.625,150.125
2,4,4.25,2.75,1.75,127.375
2,5,3.5,2.125,1.375,112.75
2,6,4.125,2.25,1.875,156.25
2,7,5,2.25,2.25,166.875
2,8,5,1.875,2.125,133.75
2,9,4.75,1.75,2.5,169
2,10,5,2,1.875,164.125
2,11,5,2.125,1.375,130.5
2,12,4.375,1.875,1.2857142857142858,155.75
2,13,5,2.125,2.125,174.375
2,14,4.428571428571429,2,2,162.28571428571428
2,15,5,2,2.625,137.375
2,16,5,2,2.5,162.25
2,17,4.625,2.125,2.625,168.125
2,18,4.875,2.125,2.625,161.625
2,19,4.875,2.125,3,121.375
2,20,4.75,2,2.25,137.125
2,21,5,2.125,3.125,129.375
2,22,5,2,2.5,131.375
2,23,5,2,2.75,100
2,24,5,2,1.625,124.125
2,25,5,2,2,100.875
2,26,4.125,2,2.625,152.5
2,27,4.875,2.375,2,145.375
2,28,5,2,1.75,147.25
2,29,4.875,2,1.625,143.25
2,30,5,2,1.625,163.5
2,31,4.875,2,1.125,150.375
2,32,5,2.142857142857143,1.5714285714285714,170.85714285714286
2,33,4.75,2.125,2.125,154.625
2,34,5,2.125,2,138.125
2,35,5,2,2.75,139.75
2,36,4.875,2,2.125,130.625
2,37,4.75,2,2,171.875
2,38,5,2,1.625,176.5
2,39,5,2.125,2.5,137.25
2,40,4.875,2,2.5,166.125
2,41,3,2.375,2.25,98.875
2,42,5,2,1.75,163.5
2,43,5,2,1.625,175.5
2,44,5,2,1.5,169.75
2,45,5,2,2,176.25
2,46,4.375,2,1.875,161
2,47,4.75,2,2.25,129.125
2,48,4.875,2,1.875,158.875
2,49,5,2,2.5714285714285716,151.57142857142858
2,50,4.625,2.125,1.625,119.5
2,51,4.142857142857143,2,2,144.28571428571428
2,52,4.75,2,1.625,154.75
2,53,4.75,2,1.625,163.25
2,54,5,2.25,2.5,166.25
2,55,4.5,2.125,1.25,155.625
2,56,5,2,1.375,173.75
2,57,4.75,2.125,2.875,168
2,58,4.375,2,1.75,176
2,59,5,2,1.375,126.625
2,60,5,2,1.625,149.25
2,61,4.875,2,2.5,149.125
3,1,4.25,2.75,3.25,102.25
3,2,5,1.875,2.25,130.875
3,3,5,2.125,1.375,163
3,4,5,2.125,1,162.625
3,5,4.875,2.25,1.875,168.25
3,6,5,2.125,1.375,179.375
3,7,4.875,1.875,2.375,139.5
3,8,4.875,2,1.5,182.875
3,9,4.75,2,3.125,127.75
3,10,5,2.125,1.875,165.5
3,11,5,2.125,2,185.75
3,12,4.857142857142857,2.2857142857142856,1.7142857142857142,174.42857142857142
3,13,4.75,2,2,132
3,14,4.375,2,2.625,128
3,15,4.875,2,2.75,165.625
3,16,4.625,2.125,1.75,165.25
3,17,4.875,2.125,2.625,140.75
3,18,4.875,2.125,2.75,128.625
3,19,4.875,2,3,192.625
3,20,5,2.5,3.125,133.375
3,21,4.875,2,2.5,182.875
3,22,4.875,2,2.125,156.375
3,23,4.5,2,2.375,173.375
3,24,4.75,2,2.375,130.125
3,25,4.75,2,2.5,123.75
3,26,5,2,2.375,124.875
3,27,4.875,2.375,2.75,163.5
3,28,4.142857142857143,1.8571428571428572,1.8571428571428572,153.85714285714286
3,29,5,2.125,2,178.875
3,30,4.875,2.125,1.75,172
3,31,5,2,2.125,167.625
3,32,5,2.125,1.625,169.25
3,33,5,2.125,2.875,124.25
3,34,4.875,2,1.625,153
3,35,4.75,2,3.625,120.125
3,36,5,1.875,3.125,135.75
3,37,5,2,2.5,141
3,38,4.875,2,3.125,127
3,39,5,2,1.75,174.5
3,40,5,2,2.5,128.5
3,41,5,2,1.5,161.75
3,42,5,2,2,140.75
3,43,4.875,2.125,2.375,153.125
3,44,5,2,2.5,145.875
3,45,5,2,2.5,173.75
3,46,5,2,2.375,116.75
3,47,5,2,3.125,119.125
3,48,4.5,2,1.625,148.375
3,49,4.875,2,2.125,160.75
3,50,4.125,1.75,1.75,159.75
3,51,4.75,2,2.25,164.25
3,52,4.875,2,1.375,148.5
3,53,5,2,2.142857142857143,165.42857142857142
3,54,5,2.125,1.75,157.375
3,55,5,2,3.375,107.5
