rep,plot,loc,entry,entry_no,entry2,ecotype,year,yld_dta
1,101,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
1,102,ny,PLB,12,Prime_Lowland,LL,2020,1.77
1,103,ny,MUB,10,Mine_Upland,UL,2020,1.77
1,104,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
1,105,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
1,106,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
1,107,ny,MLB,9,Mine_Lowland,LL,2020,1.36
1,108,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
1,109,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
1,110,ny,PUB,13,Prime_Upland,UL,2020,1.18
1,111,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
1,113,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
2,201,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
2,202,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
2,203,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
2,204,ny,MUB,10,Mine_Upland,UL,2020,1.77
2,205,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
2,207,ny,PLB,12,Prime_Lowland,LL,2020,1.77
2,208,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
2,209,ny,PUB,13,Prime_Upland,UL,2020,1.18
2,210,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
2,211,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
2,212,ny,MLB,9,Mine_Lowland,LL,2020,1.36
2,213,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
3,301,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
3,302,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
3,303,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
3,304,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
3,305,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
3,306,ny,PUB,13,Prime_Upland,UL,2020,1.18
3,307,ny,PLB,12,Prime_Lowland,LL,2020,1.77
3,308,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
3,309,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
3,310,ny,MLB,9,Mine_Lowland,LL,2020,1.36
3,311,ny,MUB,10,Mine_Upland,UL,2020,1.77
3,312,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
4,401,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
4,403,ny,MUB,10,Mine_Upland,UL,2020,1.77
4,404,ny,MLB,9,Mine_Lowland,LL,2020,1.36
4,405,ny,PLB,12,Prime_Lowland,LL,2020,1.77
4,406,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
4,407,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
4,408,ny,PUB,13,Prime_Upland,UL,2020,1.18
4,409,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
4,410,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
4,411,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
4,412,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
4,413,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
1,101,ny,K_Sel,8,Selected_from_Kanlow,LL,2021,4.4
1,102,ny,PLB,12,Prime_Lowland,LL,2021,5.84
1,103,ny,MUB,10,Mine_Upland,UL,2021,5.5
1,104,ny,CHECK_CiR,2,CHECK_CiR,UL,2021,3.7
1,105,ny,GMS,7,Midge_2_(CiR),UL,2021,3.74
1,106,ny,GMR,6,Midge_1_(CiR),UL,2021,3.97
1,107,ny,MLB,9,Mine_Lowland,LL,2021,4.47
1,108,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2021,4.15
1,109,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2021,4.72
1,110,ny,PUB,13,Prime_Upland,UL,2021,4.3
1,111,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2021,4.55
1,113,ny,Cool_Germ,5,Northeast_tive,UL,2021,3.63
2,201,ny,GMS,7,Midge_2_(CiR),UL,2021,4.09
