UniqueID,Variety,Cropping.System,crop,subplot,Range,Row,Rep,Planting.Date,Planting.Order,tared_biomass_wgt_g,tared_seed_yield_g,broken_seed_%
22NYWPPD-4-5,Icicle,Monoculture,peas,A,4,5,1,4,20,15.46,22,0
22NYWPPD-3-18,Icicle,Mixture,peas,A,3,18,3,4,70,1.36,51.7,<1
22NYWPPD-1-6,Windham,Mixture,peas,A,1,6,1,4,24,4.66,53.7,1
22NYWPPD-3-28,Blaze,Mixture,peas,A,3,28,4,1,110,9.06,65,20
22NYWPPD-2-14,Icicle,Monoculture,peas,A,2,14,2,4,55,0.66,67.1,0
22NYWPPD-3-15,Blaze,Mixture,peas,A,3,15,2,1,59,9.46,70.7,2
22NYWPPD-3-20,Windham,Mixture,peas,A,3,20,3,1,78,9.16,81.6,2
22NYWPPD-2-1,WyoWinter,Monoculture,peas,A,2,1,1,1,2,6.06,83.3,0
22NYWPPD-4-31,Icicle,Mixture,peas,A,4,31,4,2,124,29.16,89.1,0
22NYWPPD-2-28,Windham,Mixture,peas,A,2,28,4,1,111,4.06,95.9,<1
22NYWPPD-1-29,Windham,Mixture,peas,A,1,29,4,4,113,2.06,114.2,<1
22NYWPPD-4-15,Windham,Mixture,peas,A,4,15,2,1,60,26.16,116.3,<1
22NYWPPD-4-17,Icicle,Monoculture,peas,A,4,17,3,4,68,15.96,125.2,0
22NYWPPD-1-2,Blaze,Monoculture,peas,A,1,2,1,1,8,20.06,126.8,8
22NYWPPD-4-4,Windham,Mixture,peas,A,4,4,1,2,13,20.76,132.1,<1
22NYWPPD-2-12,Icicle,Mixture,peas,A,2,12,2,3,47,13.86,134.3,0
22NYWPPD-3-27,Icicle,Mixture,peas,A,3,27,4,1,107,28.46,135.9,4
22NYWPPD-2-27,WyoWinter,Monoculture,peas,A,2,27,4,1,106,5.26,138.3,<1
22NYWPPD-1-14,Icicle,Mixture,peas,A,1,14,2,4,56,2.06,138.8,0
22NYWPPD-3-4,Icicle,Mixture,peas,A,3,4,1,2,14,20.46,145,0
22NYWPPD-2-32,Windham,Mixture,peas,A,2,32,4,2,127,49.76,149.1,1
22NYWPPD-1-19,Blaze,Monoculture,peas,A,1,19,3,1,73,16.36,149.5,5
22NYWPPD-2-2,WyoWinter,Mixture,peas,A,2,2,1,1,7,6.86,151.4,<1
22NYWPPD-2-18,Windham,Monoculture,peas,A,2,18,3,4,71,23.26,153.4,0
22NYWPPD-3-5,Windham,Monoculture,peas,A,3,5,1,4,19,18.76,153.5,<1
22NYWPPD-4-26,Icicle,Monoculture,peas,A,4,26,4,3,101,35.76,156.6,0
22NYWPPD-2-5,Blaze,Mixture,peas,A,2,5,1,4,18,10.86,156.8,8
22NYWPPD-1-16,Icicle,Mixture,peas,A,1,16,2,1,64,-0.04,166,0
22NYWPPD-2-30,Blaze,Mixture,peas,A,2,30,4,4,119,9.06,166.5,6
22NYWPPD-2-15,WyoWinter,Monoculture,peas,A,2,15,2,1,58,25.76,168,<1
22NYWPPD-4-24,Windham,Monoculture,peas,A,4,24,3,2,93,68.96,172.2,<1
22NYWPPD-2-20,Icicle,Mixture,peas,A,2,20,3,1,79,17.56,172.9,<1
22NYWPPD-3-23,Icicle,Mixture,peas,A,3,23,3,2,91,41.06,175.1,0
22NYWPPD-4-29,WyoWinter,Mixture,peas,A,4,29,4,4,116,10.06,178.4,<1
22NYWPPD-1-20,Blaze,Mixture,peas,A,1,20,3,1,80,29.96,186,2
22NYWPPD-2-16,Icicle,Monoculture,peas,A,2,16,2,1,63,45.76,187.1,1
22NYWPPD-3-19,WyoWinter,Mixture,peas,A,3,19,3,1,75,10.26,187.3,0
22NYWPPD-4-2,Blaze,Mixture,peas,A,4,2,1,1,5,3.26,195.4,2
22NYWPPD-4-18,Windham,Mixture,peas,A,4,18,3,4,69,11.46,197.5,3
22NYWPPD-1-1,Icicle,Monoculture,peas,A,1,1,1,1,1,44.16,219.2,1
22NYWPPD-1-18,Blaze,Mixture,peas,A,1,18,3,4,72,5.76,219.2,4
22NYWPPD-2-6,Icicle,Mixture,peas,A,2,6,1,4,23,0.26,219.2,0
22NYWPPD-2-13,Windham,Mixture,peas,A,2,13,2,4,50,5.06,219.2,0
22NYWPPD-2-19,WyoWinter,Monoculture,peas,A,2,19,3,1,74,4.06,219.2,<1
22NYWPPD-2-26,Icicle,Mixture,peas,A,2,26,4,3,103,21.26,219.2,<1
22NYWPPD-3-1,Windham,Mixture,peas,A,3,1,1,1,3,12.56,219.2,3
22NYWPPD-3-2,Windham,Monoculture,peas,A,3,2,1,1,6,25.76,219.2,4
22NYWPPD-3-13,Blaze,Monoculture,peas,A,3,13,2,4,51,33.06,219.2,5
22NYWPPD-3-14,Blaze,Mixture,peas,A,3,14,2,4,54,4.66,219.2,8
22NYWPPD-3-29,Blaze,Monoculture,peas,A,3,29,4,4,115,19.26,219.2,4
22NYWPPD-4-8,Icicle,Mixture,peas,A,4,8,1,3,29,20.66,219.2,<1
22NYWPPD-4-11,Icicle,Monoculture,peas,A,4,11,2,3,44,61.76,219.2,1
22NYWPPD-4-27,WyoWinter,Mixture,peas,A,4,27,4,1,108,14.16,219.2,0
22NYWPPD-1-23,Blaze,Mixture,peas,A,1,23,3,2,89,68.06,221,2
22NYWPPD-1-5,Blaze,Monoculture,peas,A,1,5,1,4,17,21.86,221.7,<1
22NYWPPD-2-11,Windham,Mixture,peas,A,2,11,2,3,42,36.36,226.2,<1
22NYWPPD-4-10,Windham,Mixture,peas,A,4,10,2,2,37,44.96,228.7,<1
22NYWPPD-1-7,Windham,Mixture,peas,A,1,7,1,3,25,33.76,235.4,<1
22NYWPPD-3-32,Blaze,Mixture,peas,A,3,32,4,2,126,75.96,245.5,2
22NYWPPD-3-9,Icicle,Mixture,peas,A,3,9,2,2,35,16.06,249.1,0
22NYWPPD-1-3,Windham,Monoculture,peas,A,1,3,1,2,9,64.76,250.2,<1
22NYWPPD-3-25,Windham,Mixture,peas,A,3,25,4,3,99,48.26,251.8,<1
22NYWPPD-1-17,WyoWinter,Mixture,peas,A,1,17,3,4,65,45.86,252,<1
22NYWPPD-2-17,WyoWinter,Monoculture,peas,A,2,17,3,4,66,63.86,257.9,<1
22NYWPPD-1-13,Windham,Monoculture,peas,A,1,13,2,4,49,23.06,272.1,<1
22NYWPPD-1-22,Blaze,Mixture,peas,A,1,22,3,3,88,39.86,273.5,2
22NYWPPD-1-10,Blaze,Mixture,peas,A,1,10,2,2,40,46.16,282.6,2
22NYWPPD-4-21,Icicle,Mixture,peas,A,4,21,3,3,84,18.06,282.7,<1
22NYWPPD-4-9,Windham,Monoculture,peas,A,4,9,2,2,36,92.36,298.6,<1
22NYWPPD-2-8,Blaze,Mixture,peas,A,2,8,1,3,31,37.16,298.7,<1
22NYWPPD-3-3,Blaze,Mixture,peas,A,3,3,1,2,11,52.76,299.8,<1
22NYWPPD-3-11,Blaze,Mixture,peas,A,3,11,2,3,43,65.46,308.8,<1
22NYWPPD-1-12,Windham,Monoculture,peas,A,1,12,2,3,48,80.46,320.4,<1
22NYWPPD-2-21,Windham,Mixture,peas,A,2,21,3,3,82,50.96,335.1,<1
22NYWPPD-1-15,WyoWinter,Mixture,peas,A,1,15,2,1,57,12.86,335.3,0
22NYWPPD-1-25,Blaze,Mixture,peas,A,1,25,4,3,97,73.36,352.2,3
22NYWPPD-4-6,WyoWinter,Mixture,peas,A,4,6,1,4,21,29.86,354,0
22NYWPPD-1-21,Blaze,Monoculture,peas,A,1,21,3,3,81,122.76,385.5,6
22NYWPPD-4-25,Blaze,Monoculture,peas,A,4,25,4,3,100,67.56,407,<1
22NYWPPD-3-17,Blaze,Monoculture,peas,A,3,17,3,4,67,30.86,434.1,8
